,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
0,14733363,male,68,190.0,94.0,29.0,105.0,40.8,231.0
1,14861698,female,20,166.0,60.0,14.0,94.0,40.3,66.0
2,11179863,male,69,179.0,79.0,5.0,88.0,38.7,26.0
3,16180408,female,34,179.0,71.0,13.0,100.0,40.5,71.0
4,17771927,female,27,154.0,58.0,10.0,81.0,39.8,35.0
5,15130815,female,36,151.0,50.0,23.0,96.0,40.7,123.0
6,19602372,female,33,158.0,56.0,22.0,95.0,40.5,112.0
7,11117088,male,41,175.0,85.0,25.0,100.0,40.7,143.0
8,12132339,male,60,186.0,94.0,21.0,97.0,40.4,134.0
9,17964668,female,26,146.0,51.0,16.0,90.0,40.2,72.0
10,13723164,female,36,177.0,76.0,1.0,74.0,37.8,3.0
11,13681290,female,21,157.0,56.0,17.0,100.0,40.0,92.0
12,15566424,male,66,171.0,79.0,11.0,90.0,40.0,58.0
13,12891699,female,32,157.0,54.0,18.0,93.0,40.4,88.0
14,13823829,male,53,182.0,85.0,2.0,82.0,38.1,7.0
15,17557348,female,39,156.0,62.0,28.0,104.0,40.8,170.0
16,12198133,male,39,182.0,82.0,4.0,82.0,38.6,11.0
17,15236104,male,46,169.0,67.0,11.0,89.0,40.2,43.0
18,11042324,female,27,171.0,65.0,4.0,85.0,38.6,15.0
19,16864285,male,50,188.0,86.0,14.0,94.0,40.2,74.0
20,11674347,male,67,189.0,93.0,8.0,77.0,39.2,29.0
21,19797300,female,31,148.0,50.0,8.0,84.0,39.5,32.0
22,14711095,female,33,157.0,60.0,3.0,80.0,38.7,10.0
23,14434854,female,20,165.0,59.0,29.0,100.0,41.0,155.0
24,14893804,male,48,182.0,85.0,1.0,80.0,37.7,3.0
25,17231597,male,29,176.0,75.0,10.0,83.0,39.7,24.0
26,10901446,male,33,173.0,73.0,7.0,78.0,39.3,12.0
27,15874362,male,42,190.0,88.0,3.0,83.0,38.9,10.0
28,15569252,female,62,159.0,59.0,29.0,106.0,41.2,195.0
29,15615743,male,38,171.0,75.0,2.0,81.0,38.2,5.0
30,13363046,male,20,183.0,88.0,16.0,97.0,40.5,69.0
31,17572853,female,25,160.0,59.0,24.0,102.0,40.3,136.0
32,17157339,female,24,165.0,59.0,18.0,91.0,40.2,80.0
33,18328111,female,42,165.0,68.0,22.0,93.0,40.8,107.0
34,19303479,male,22,182.0,84.0,29.0,114.0,41.0,200.0
35,10699201,female,74,158.0,59.0,10.0,93.0,39.6,56.0
36,15283313,female,70,154.0,59.0,10.0,88.0,40.0,50.0
37,16324247,female,26,182.0,80.0,21.0,96.0,40.5,100.0
38,14277710,male,44,184.0,86.0,25.0,114.0,40.8,200.0
39,10888188,male,61,183.0,86.0,1.0,81.0,38.3,4.0
40,13379795,female,68,157.0,57.0,13.0,92.0,40.1,70.0
41,17181524,female,61,176.0,70.0,20.0,104.0,40.5,127.0
42,15988442,male,63,179.0,80.0,25.0,108.0,40.8,197.0
43,19538533,female,54,171.0,66.0,20.0,98.0,40.1,113.0
44,14591877,female,54,169.0,66.0,3.0,80.0,38.9,11.0
45,14274480,female,47,155.0,55.0,16.0,93.0,40.5,82.0
46,16818429,male,33,184.0,86.0,8.0,86.0,39.9,26.0
47,17476522,female,24,171.0,66.0,24.0,105.0,40.6,141.0
48,16369885,male,24,195.0,98.0,20.0,96.0,40.6,92.0
49,17816292,male,48,152.0,59.0,2.0,79.0,38.0,5.0
50,15995398,male,35,193.0,93.0,10.0,83.0,39.7,30.0
51,17615432,male,21,168.0,71.0,3.0,78.0,38.5,3.0
52,10146087,female,21,179.0,73.0,9.0,90.0,39.6,37.0
53,17967445,female,22,158.0,62.0,25.0,105.0,40.6,147.0
54,19670291,female,69,174.0,69.0,2.0,80.0,38.1,8.0
55,10580576,male,53,191.0,101.0,21.0,106.0,40.7,159.0
56,15854213,female,68,155.0,58.0,15.0,100.0,40.3,93.0
57,11138472,female,69,164.0,65.0,23.0,113.0,40.4,173.0
58,18276801,male,28,198.0,101.0,19.0,95.0,40.6,89.0
59,13823902,male,70,188.0,89.0,7.0,82.0,39.3,31.0
60,19222133,female,36,170.0,64.0,9.0,84.0,39.6,35.0
61,13231909,female,77,177.0,80.0,16.0,98.0,40.6,94.0
62,12726617,female,32,167.0,63.0,9.0,99.0,39.7,49.0
63,12538968,female,62,185.0,77.0,13.0,84.0,40.4,54.0
64,10941668,female,64,151.0,56.0,20.0,97.0,40.4,117.0
65,12628985,male,45,175.0,79.0,27.0,104.0,40.6,173.0
66,17691320,male,45,158.0,61.0,20.0,97.0,40.7,99.0
67,17822027,female,22,177.0,71.0,10.0,93.0,39.8,45.0
68,13777657,male,45,169.0,69.0,22.0,113.0,40.6,166.0
69,19423359,female,66,174.0,69.0,28.0,111.0,40.9,202.0
70,14701930,male,31,182.0,83.0,20.0,101.0,40.9,107.0
71,11513205,female,57,163.0,68.0,29.0,109.0,40.7,199.0
72,11842710,male,53,192.0,93.0,5.0,90.0,39.1,25.0
73,12576313,female,22,179.0,67.0,8.0,77.0,39.5,23.0
74,12367125,male,67,192.0,92.0,24.0,108.0,40.7,200.0
75,16913504,female,27,168.0,64.0,2.0,76.0,38.2,6.0
76,19439155,male,57,178.0,83.0,2.0,79.0,38.1,7.0
77,16137644,female,49,168.0,68.0,20.0,99.0,40.6,113.0
78,11622081,female,39,168.0,63.0,29.0,108.0,40.7,188.0
79,17374074,male,47,165.0,72.0,20.0,96.0,40.3,103.0
80,19096890,male,62,197.0,101.0,17.0,103.0,40.3,128.0
81,19628507,male,41,187.0,89.0,23.0,99.0,40.7,130.0
82,16918679,female,34,144.0,50.0,7.0,83.0,39.3,27.0
83,11194130,female,40,163.0,62.0,27.0,111.0,41.2,185.0
84,18863486,female,55,155.0,57.0,11.0,92.0,39.8,57.0
85,11754581,male,44,189.0,88.0,13.0,94.0,40.0,65.0
86,15161631,female,45,160.0,60.0,16.0,99.0,40.4,91.0
87,18735761,female,49,164.0,64.0,19.0,105.0,40.4,120.0
88,15878611,female,46,166.0,68.0,12.0,101.0,40.1,70.0
89,19249559,male,25,202.0,100.0,9.0,94.0,39.8,39.0
